module_path,leaf_name,component,layer_index,in_features,out_features,bias,n_params,requires_grad
thinker.audio_tower.layers.0.self_attn.k_proj,k_proj,AUDIO_ENCODER,0,1024,1024,True,1049600,True
thinker.audio_tower.layers.0.self_attn.v_proj,v_proj,AUDIO_ENCODER,0,1024,1024,True,1049600,True
thinker.audio_tower.layers.0.self_attn.q_proj,q_proj,AUDIO_ENCODER,0,1024,1024,True,1049600,True
thinker.audio_tower.layers.0.self_attn.out_proj,out_proj,AUDIO_ENCODER,0,1024,1024,True,1049600,True
thinker.audio_tower.layers.0.fc1,fc1,AUDIO_ENCODER,0,1024,4096,True,4198400,True
thinker.audio_tower.layers.0.fc2,fc2,AUDIO_ENCODER,0,4096,1024,True,4195328,True
thinker.audio_tower.layers.1.self_attn.k_proj,k_proj,AUDIO_ENCODER,1,1024,1024,True,1049600,True
thinker.audio_tower.layers.1.self_attn.v_proj,v_proj,AUDIO_ENCODER,1,1024,1024,True,1049600,True
thinker.audio_tower.layers.1.self_attn.q_proj,q_proj,AUDIO_ENCODER,1,1024,1024,True,1049600,True
thinker.audio_tower.layers.1.self_attn.out_proj,out_proj,AUDIO_ENCODER,1,1024,1024,True,1049600,True
thinker.audio_tower.layers.1.fc1,fc1,AUDIO_ENCODER,1,1024,4096,True,4198400,True
thinker.audio_tower.layers.1.fc2,fc2,AUDIO_ENCODER,1,4096,1024,True,4195328,True
thinker.audio_tower.layers.2.self_attn.k_proj,k_proj,AUDIO_ENCODER,2,1024,1024,True,1049600,True
thinker.audio_tower.layers.2.self_attn.v_proj,v_proj,AUDIO_ENCODER,2,1024,1024,True,1049600,True
thinker.audio_tower.layers.2.self_attn.q_proj,q_proj,AUDIO_ENCODER,2,1024,1024,True,1049600,True
thinker.audio_tower.layers.2.self_attn.out_proj,out_proj,AUDIO_ENCODER,2,1024,1024,True,1049600,True
thinker.audio_tower.layers.2.fc1,fc1,AUDIO_ENCODER,2,1024,4096,True,4198400,True
thinker.audio_tower.layers.2.fc2,fc2,AUDIO_ENCODER,2,4096,1024,True,4195328,True
